Camosun College (Victoria)
College of the Rockies (Cranbrook)
Douglas College (New Westminster and Coquitlam)
British Columbia Institute of Technology (Burnaby)
Justice Institute of British Columbia (New Westminster)
Langara College (Vancouver)
Nicola Valley Institute of Technology (Merritt)
Okanagan College (Kelowna)
UBC(Vancouver)
SFU(Burnaby)
UNBC(Prince George)
UVIC(Victoria)
Capilano University(North Van)
Emily Carr University of Art and Design
Kwantlen Polytechnic University(Surrey)
Royal Roads University(Victoria)
Thompson Rivers University(Kamloops)
UFV(Chilliwack)
Vancouver Island University(Nanaimo)
